num_cidades,alfa_utilizado,beta_utilizado,resultado_distancia,tempo_segundos
62,1.16,3.28,662.85,1.53
260,2.38,3.78,1370.51,14.9259
73,1.83,3.55,696.55,4.2151
343,0.81,1.84,2013.79,25.3733
23,0.87,2.55,449.87,0.1965
90,1.5,4.94,786.25,4.8768
59,1.8,3.22,672.77,1.8789
30,1.81,4.33,445.75,0.7566
158,1.98,4.37,1087.26,18.9303
44,0.59,4.66,517.2,0.7017
261,2.39,2.56,1415.48,14.0102
27,2.17,2.13,419.02,0.4942
75,1.54,3.56,738.6,4.2221
31,1.34,4.93,483.98,0.3094
102,2.07,2.74,894.97,5.0098
85,1.69,1.86,795.28,4.2846
128,1.21,2.15,982.84,10.299
21,2.31,3.85,401.39,0.3839
299,0.9,2.76,1629.31,20.877
32,2.29,2.51,522.64,0.3458
155,1.61,2.27,1077.22,16.0309
259,1.64,2.22,1411.96,16.4056
351,1.89,4.4,1548.59,31.4818
45,0.59,4.48,563.31,0.7255
48,0.6,1.54,647.93,0.8745
96,2.38,4.97,881.12,6.0263
104,1.23,4.0,844.21,5.5215
61,0.9,3.54,691.29,1.4625
73,2.02,3.2,745.96,3.1621
105,1.63,3.62,899.21,8.7675
39,2.26,3.05,547.43,1.2438
71,1.38,3.42,763.29,2.8768
32,0.74,1.72,522.95,0.3427
130,0.87,4.25,954.07,9.5877
294,2.33,3.21,1489.28,18.0445
42,1.55,2.18,564.39,0.6111
56,1.33,3.31,701.05,1.1981
29,1.62,4.81,435.42,0.3547
46,1.87,2.55,606.35,0.7437
91,0.94,3.3,825.98,8.436
357,0.53,3.4,1874.24,26.1775
71,0.6,3.08,693.43,2.0665
263,2.14,3.09,1400.58,14.9161
48,0.67,4.64,561.25,1.2342
44,1.41,4.2,553.71,0.7106
258,1.44,2.78,1390.3,20.5871
157,1.75,4.06,1067.17,20.0561
79,1.09,4.92,709.14,2.6327
28,1.46,4.9,491.14,0.3387
109,1.92,2.59,868.49,7.0792
114,1.01,4.63,926.21,7.7038
72,1.06,2.5,772.17,3.1901
21,1.97,1.51,409.81,0.1545
129,1.0,4.02,986.42,13.8614
29,1.6,4.98,405.51,0.3845
60,1.37,1.53,630.75,2.2368
301,0.87,2.6,1664.54,22.3936
99,2.4,3.14,874.28,5.5709
22,2.3,4.64,370.58,0.209
151,1.6,4.96,1026.8,18.1788
33,1.61,3.61,490.35,0.3702
192,2.4,4.2,1181.11,32.2339
147,0.98,3.51,996.72,16.1592
43,1.86,4.59,502.32,0.6533
385,1.05,2.68,1762.56,30.7803
129,0.69,4.02,999.65,12.4357
243,1.71,2.61,1358.53,13.5152
68,1.17,4.08,715.5,2.1771
136,1.55,1.59,1016.99,11.3036
175,2.1,2.87,1103.37,22.2355
37,0.52,2.81,538.56,0.4971
63,1.93,4.16,676.85,1.5664
93,0.68,4.69,825.56,4.8673
28,1.59,3.39,523.73,0.3446
215,1.21,3.27,1240.59,10.8075
136,1.58,3.3,1017.89,11.4528
69,0.7,4.65,672.96,1.9519
57,2.2,2.74,677.56,1.2006
156,1.58,2.04,994.08,15.6072
56,1.93,1.57,676.07,1.245
82,0.8,2.17,817.53,3.5599
57,0.54,1.6,774.0,1.6502
263,0.51,3.17,1594.06,14.4615
45,0.79,1.94,595.22,0.7364
213,2.22,4.56,1302.78,10.9784
226,1.22,3.62,1248.52,11.8962
60,2.03,4.4,679.67,1.417
271,0.98,4.09,1471.72,15.6232
125,1.35,3.87,947.09,9.4066
111,1.4,3.74,851.87,16.5303
281,2.42,2.38,1462.16,25.7162
43,0.93,1.5,537.97,0.9603
184,1.1,2.45,1142.32,37.4584
285,2.12,3.65,1462.64,23.8932
42,1.51,1.8,555.07,1.1718
37,0.92,2.63,489.89,1.064
141,2.34,2.91,1033.85,20.3105
21,1.69,4.25,368.52,0.2358
63,1.23,4.35,629.8,2.2658
21,1.21,3.21,353.57,0.271
109,1.49,2.38,894.45,10.1407
145,1.69,2.85,991.73,19.2592
33,0.52,3.27,478.19,0.5088
28,0.93,3.61,490.42,0.5115
125,2.12,3.44,950.36,13.9713
175,2.04,4.48,1093.33,32.4705
269,2.25,4.36,1457.85,23.3861
143,2.29,3.65,973.85,18.415
32,0.57,3.22,407.84,0.4967
99,2.25,3.88,833.51,8.4625
394,1.07,3.66,1780.91,43.7533
51,0.96,2.85,560.66,1.4454
197,2.01,3.97,1120.45,44.4078
42,1.13,4.9,621.51,0.9233
250,2.27,3.49,1402.98,19.1879
169,0.76,2.97,1146.24,29.172
345,1.84,2.48,1578.58,35.6942
72,1.92,2.49,690.62,3.1807
21,1.76,3.94,379.94,0.2358
104,0.96,1.67,908.77,9.2947
80,0.69,3.85,754.34,4.0506
243,1.23,4.34,1363.31,17.7807
24,2.2,2.64,435.79,0.3496
107,2.13,3.34,911.14,10.0437
193,2.29,3.22,1181.11,41.7305
245,1.2,1.91,1390.7,18.2764
218,1.1,3.71,1294.33,15.3987
295,0.92,4.61,1494.16,27.081
189,1.53,1.85,1169.61,39.1361
92,1.4,3.17,802.99,5.5894
209,0.95,4.21,1226.49,14.3884
297,0.57,1.62,2242.55,26.6356
39,1.72,2.18,574.45,0.7445
34,1.56,4.78,443.5,0.5466
64,0.62,1.51,786.68,3.2416
103,2.01,3.22,883.48,7.9544
39,1.11,4.9,538.51,0.7285
272,0.64,2.48,1654.86,23.624
357,1.05,2.12,1693.95,35.6768
26,2.29,2.58,465.48,1.0919
62,1.73,3.56,675.16,6.2999
201,2.22,3.94,1248.47,16.8505
99,2.27,3.66,834.18,10.1203
33,2.45,2.57,509.49,0.4905
20,0.53,3.35,391.15,0.2408
105,2.34,3.62,861.31,11.9162
21,2.35,4.11,368.87,0.3633
114,0.81,2.07,979.17,15.2978
155,1.7,2.47,1032.16,27.9727
29,2.18,2.47,537.19,0.5675
395,0.63,1.55,2618.22,46.0024
354,2.33,2.75,1641.04,36.2476
248,0.67,4.42,1370.12,22.6713
26,1.61,4.42,469.15,0.4285
100,0.72,3.47,886.51,7.3624
36,1.5,4.33,465.49,0.6451
26,2.5,3.77,513.4,0.4187
33,2.32,2.62,494.26,0.5267
324,2.31,2.48,1561.14,35.3163
229,1.87,4.03,1324.25,18.2002
319,2.42,3.5,1594.08,32.1863
117,1.35,2.93,859.72,12.0995
46,1.26,4.34,505.13,1.1885
83,0.91,1.93,841.59,5.3772
151,1.56,4.05,1071.08,24.9228
27,0.67,1.55,544.81,0.4522
105,0.98,4.49,885.3,9.709
23,1.3,2.3,359.22,0.5069
201,1.99,2.43,1195.48,15.3146
34,1.25,2.45,485.61,0.6508
165,2.25,2.36,1110.62,29.1415
54,2.3,4.96,700.38,1.6179
43,0.93,4.97,532.9,0.9407
25,2.49,4.38,446.04,0.3456
375,1.59,4.36,1705.79,41.9632
54,1.51,2.49,601.94,1.972
297,2.14,3.2,1496.8,27.8813
136,1.08,3.06,1066.07,17.7703
158,1.88,1.92,1060.55,27.6015
21,2.21,4.27,411.43,0.2656
71,1.63,1.51,752.48,3.1623
226,1.33,1.84,1317.54,16.7003
26,0.76,1.59,510.52,0.4652
102,0.55,4.21,914.59,9.6907
45,1.51,2.85,511.94,1.0522
134,2.12,2.04,959.77,16.7925
41,2.47,4.83,614.03,0.7896
27,1.68,4.04,464.12,0.4522
36,2.36,2.17,524.49,0.6249
255,1.09,1.63,1572.13,24.8658
25,2.48,4.96,423.1,0.4729
64,1.99,4.88,743.07,2.8054
45,0.51,3.23,579.63,1.3917
211,1.47,2.59,1281.92,15.6417
24,0.66,3.5,373.19,0.4018
322,0.69,2.65,1796.32,33.2502
62,0.93,4.57,632.21,4.1045
