dimensao,alfa_ideal,beta_ideal,n_iteracoes
284,1.71,4.14,50
285,1.9,3.76,60
286,1.9,3.75,77
287,1.92,3.82,74
288,1.93,3.84,99
289,1.94,3.85,72
290,2.02,3.67,80
291,1.98,3.65,79
292,1.94,3.62,91
293,1.94,3.62,84
294,1.83,3.63,56
295,1.32,3.9,65
296,1.06,3.67,75
297,1.31,2.43,97
298,1.23,2.52,98
299,0.92,2.89,51
300,0.89,2.89,50
301,0.77,2.66,97
302,0.87,2.67,61
303,1.82,2.94,54
304,2.09,3.35,86
305,2.1,3.37,81
306,1.51,3.8,58
307,0.98,3.89,90
308,1.32,3.59,84
309,1.32,3.59,68
310,1.32,3.59,97
311,1.33,3.54,65
312,1.13,3.55,52
313,1.12,3.59,69
314,0.97,3.76,73
315,0.97,3.75,82
316,0.97,3.75,73
317,0.87,4.13,60
318,0.87,4.13,98
319,1.22,3.37,57
320,1.24,3.36,85
321,1.54,3.89,87
322,1.44,2.86,89
323,1.32,1.97,69
324,1.85,2.83,84
325,1.85,2.83,97
326,1.9,2.88,74
327,1.97,2.61,84
328,1.9,2.63,74
329,1.9,2.63,78
330,1.09,2.94,67
331,1.09,2.94,95
332,1.04,2.96,67
333,1.04,2.96,51
334,0.82,3.04,84
335,0.96,3.02,65
336,0.82,3.08,90
337,0.82,3.08,85
338,0.83,3.19,82
339,0.89,3.16,53
340,0.89,3.16,82
341,0.78,3.41,63
342,0.88,3.35,70
343,0.92,3.36,97
344,0.92,3.36,69
345,1.76,2.7,57
346,1.88,2.94,56
347,1.99,2.87,52
348,1.78,2.6,66
349,1.64,2.79,82
350,1.55,3.34,97
351,1.46,4.39,61
352,1.47,4.41,71
353,1.89,3.65,71
354,1.88,3.66,95
355,1.85,3.58,79
356,0.9,3.06,87
357,0.78,2.86,87
358,0.78,2.86,94
359,0.98,2.31,57
360,0.96,2.3,76
361,0.96,2.3,76
362,1.03,2.36,83
363,1.54,3.04,70
364,1.61,3.23,79
365,1.61,3.24,82
366,1.61,3.24,77
367,1.6,3.87,96
368,1.56,3.48,82
369,1.27,2.72,54
370,1.04,3.27,97
371,1.04,3.27,68
372,1.04,3.3,53
373,1.44,4.01,84
374,1.69,3.84,98
375,1.68,3.85,66
376,1.68,3.85,93
377,2.0,2.62,77
378,1.96,2.55,79
379,1.12,3.22,78
380,1.23,3.29,95
381,1.96,3.26,55
382,1.6,3.49,84
383,1.24,4.39,90
384,1.1,4.26,86
385,1.1,3.21,73
386,1.18,2.88,78
387,1.37,2.96,98
388,1.44,2.86,95
389,1.71,2.84,80
390,2.06,2.81,84
391,2.0,2.82,82
392,1.98,2.78,70
393,2.01,2.8,81
394,1.2,3.19,72
395,1.03,2.37,82
396,0.98,2.37,52
397,1.44,2.57,67
398,1.68,2.92,74
399,1.81,3.24,91
400,1.62,3.24,80
